pfGN01_vs_pfGN01_TCONS_00000001|2|1577	XLOC_000001	PfGN01_000021500|PfGN01_000021500-t41_1	k	q1:PF3D7_0425900|PF3D7_0425900.1|2|0.000000|0.000000|0.000000|1577	valid_ORF=0
pfGN01_vs_pfGN01_TCONS_00000002|2|922	XLOC_000002	PfGN01_000021700|PfGN01_000021700-t41_1	=	q1:PF3D7_0900900|PF3D7_0900900.1|2|0.000000|0.000000|0.000000|922	valid_ORF=0
pfGN01_vs_pfGN01_TCONS_00000003|2|1041	XLOC_000003	PfGN01_000022800|PfGN01_000022800-t41_1	j	q1:PF3D7_0115300|PF3D7_0115300.1|2|0.000000|0.000000|0.000000|1041	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000004|2|6570	XLOC_000004	PfGN01_010005100|PfGN01_010005100-t41_1	=	q1:PF3D7_0223500|PF3D7_0223500.1|2|0.000000|0.000000|0.000000|6570	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000005|2|6176	XLOC_000005	PfGN01_010005400|PfGN01_010005400-t41_1	=	q1:PF3D7_0712400|PF3D7_0712400.1|2|0.000000|0.000000|0.000000|6176	valid_ORF=0
pfGN01_vs_pfGN01_TCONS_00000006|2|5973	XLOC_000006	PfGN01_010006700|PfGN01_010006700-t41_1	=	q1:PF3D7_0102200|PF3D7_0102200.1|2|0.000000|0.000000|0.000000|5973	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000007|2|1567	XLOC_000007	PfGN01_010006800|PfGN01_010006800-t41_1	=	q1:PF3D7_0102300|PF3D7_0102300.1|2|0.000000|0.000000|0.000000|1567	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000008|2|1707	XLOC_000008	PfGN01_010007200|PfGN01_010007200-t41_1	=	q1:PF3D7_0102700|PF3D7_0102700.1|2|0.000000|0.000000|0.000000|1707	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000009|7|6320	XLOC_000009	PfGN01_010008000|PfGN01_010008000-t41_1	=	q1:PF3D7_0103500|PF3D7_0103500.1|7|0.000000|0.000000|0.000000|6320	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000010|3|5185	XLOC_000010	PfGN01_010008100|PfGN01_010008100-t41_1	=	q1:PF3D7_0103600|PF3D7_0103600.1|3|0.000000|0.000000|0.000000|5185	valid_ORF=0
pfGN01_vs_pfGN01_TCONS_00000011|6|1624	XLOC_000011	PfGN01_010008200|PfGN01_010008200-t41_1	=	q1:PF3D7_0103700|PF3D7_0103700.1|6|0.000000|0.000000|0.000000|1624	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000012|1|2624	XLOC_000012	PfGN01_010008400|PfGN01_010008400-t41_1	k	q1:PF3D7_0103900|PF3D7_0103900.1|1|0.000000|0.000000|0.000000|2624	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000013|3|492	XLOC_000013	PfGN01_010008500|PfGN01_010008500-t41_1	=	q1:PF3D7_0104000|PF3D7_0104000.1|3|0.000000|0.000000|0.000000|492	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000014|2|4329	XLOC_000014	PfGN01_010008600|PfGN01_010008600-t41_1	=	q1:PF3D7_0104100|PF3D7_0104100.1|2|0.000000|0.000000|0.000000|4329	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000015|3|12504	XLOC_000015	PfGN01_010008800|PfGN01_010008800-t41_1	=	q1:PF3D7_0104300|PF3D7_0104300.1|3|0.000000|0.000000|0.000000|12504	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000016|1|2891	XLOC_000016	PfGN01_010008900|PfGN01_010008900-t41_1	k	q1:PF3D7_0104400|PF3D7_0104400.1|1|0.000000|0.000000|0.000000|2891	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000017|1|4438	XLOC_000017	PfGN01_010009100|PfGN01_010009100-t41_1	=	q1:PF3D7_0104600|PF3D7_0104600.1|1|0.000000|0.000000|0.000000|4438	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000018|1|2136	XLOC_000018	PfGN01_010009200|PfGN01_010009200-t41_1	=	q1:PF3D7_0104700|PF3D7_0104700.1|1|0.000000|0.000000|0.000000|2136	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000019|1|2460	XLOC_000019	PfGN01_010009300|PfGN01_010009300-t41_1	=	q1:PF3D7_0104800|PF3D7_0104800.1|1|0.000000|0.000000|0.000000|2460	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000020|1|1200	XLOC_000020	PfGN01_010009400|PfGN01_010009400-t41_1	k	q1:PF3D7_0105100|PF3D7_0105100.1|1|0.000000|0.000000|0.000000|1200	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000021|3|10885	XLOC_000021	PfGN01_010010000|PfGN01_010010000-t41_1	k	q1:PF3D7_0105700|PF3D7_0105700.1|3|0.000000|0.000000|0.000000|10885	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000022|1|2722	XLOC_000022	PfGN01_010010200|PfGN01_010010200-t41_1	k	q1:PF3D7_0105900|PF3D7_0105900.1|1|0.000000|0.000000|0.000000|2722	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000023|4|898	XLOC_000023	PfGN01_010010700|PfGN01_010010700-t41_1	=	q1:PF3D7_0106400|PF3D7_0106400.1|4|0.000000|0.000000|0.000000|898	valid_ORF=1
pfGN01_vs_pfGN01_TCONS_00000024|1|4697	XLOC_000024	PfGN01_010010800|PfGN01_010010800-t41_1	=	q1:PF3D7_0106500|PF3D7_0106500.1|1|0.000000|0.000000|0.000000|4697	valid_ORF=1
