source:/mnt/hc-storage/users/freyja/get_pangenes/inputs_pseudo_v2_pangenes/PlasmoDB68_PfalciparumDd2_0taxa_2neigh_algMmap_/PlasmoDB-68PfalciparumDd2	PlasmoDB-68_PfalciparumDd2	PlasmoDB-68_Pfalciparum7G8	PlasmoDB-68_PfalciparumHB3	PlasmoDB-68_PfalciparumIT	PlasmoDB-68_PfalciparumKH02	PlasmoDB-68_PfalciparumKE01	PlasmoDB-68_Pfalciparum7G8-2019	PlasmoDB-68_PfalciparumGB4	PlasmoDB-68_PfalciparumKH01	PlasmoDB-68_Pfalciparum3D7	PlasmoDB-68_PfalciparumGA01	PlasmoDB-68_PfalciparumGN01	PlasmoDB-68_PfalciparumCD01	PlasmoDB-68_PfalciparumSN01	PlasmoDB-68_PfalciparumNF166	PlasmoDB-68_PfalciparumNF54	
chr:unsorted	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
PF3D7_0100100	-	-	-	-	-	-	-	PfGB4_000011000	-	PF3D7_0100100	-	-	-	-	-	PfNF54_010005600	
PF3D7_0100200	-	-	-	-	-	-	-	-	-	PF3D7_0100200	-	PfGN01_140085500	PfCD01_140086200	-	-	PfNF54_010005700	
PF3D7_0100300	-	-	-	-	-	-	-	-	-	PF3D7_0100300	-	-	PfCD01_070035600	PfSN01_100005400	-	PfNF54_010005800	
PF3D7_0100400	-	-	-	-	-	-	-	-	-	PF3D7_0100400	-	PfGN01_140005000	PfCD01_070035500	PfSN01_100005500	-	PfNF54_010005900	
PF3D7_0100600	-	-	-	-	-	-	-	-	PfKH01_100044500	PF3D7_0100600	-	-	-	-	-	PfNF54_010006000	
PF3D7_0100700	-	-	-	-	-	-	-	-	-	PF3D7_0100700	-	-	-	-	-	PfNF54_010006100	
PF3D7_0100800	-	-	-	-	-	-	-	-	-	PF3D7_0100800	-	-	-	-	-	PfNF54_010006200	
PF3D7_0100900	-	-	-	-	-	-	-	-	-	PF3D7_0100900	-	-	-	-	-	PfNF54_010006300	
PF3D7_0101000	-	-	-	-	-	-	-	-	-	PF3D7_0101000	-	-	-	-	-	PfNF54_010006400	
PF3D7_0101100	-	-	PfHB3_070035400	-	-	-	-	-	-	PF3D7_0101100	-	PfGN01_070005900	PfCD01_050006200	PfSN01_030030900	PfNF166_000008500:pseudogene	-	
PF3D7_0101200	-	-	PfHB3_070035300	-	-	-	-	-	-	PF3D7_0101200	-	PfGN01_070006000	PfCD01_050006300	PfSN01_030030800	PfNF166_070005000	-	
PF3D7_0101300	-	-	PfHB3_070035200	-	-	-	-	PfGB4_130078400	-	PF3D7_0101300	-	PfGN01_070006100	PfCD01_050006400	PfSN01_030030700	PfNF166_000008700	PfNF54_010006500	
PF3D7_0101400	-	-	PfHB3_070035100	-	-	-	Pf7G8-2_000153400	PfGB4_130078300	-	PF3D7_0101400	-	PfGN01_040031600	PfCD01_050006500	PfSN01_030030600	PfNF166_000008800	PfNF54_010006600:pseudogene	
PfDd2_060036900	PfDd2_060036900	-	PfHB3_070035000	-	-	-	-	PfGB4_030005800	PfKH01_020005100	PF3D7_0101500	PfGA01_030031300	PfGN01_040031500	PfCD01_050006600	PfSN01_030030500	PfNF166_000009000	PfNF54_010006700	
PfDd2_020025300	PfDd2_020025300	-	-	-	-	-	-	-	-	PF3D7_0101600	-	-	-	-	-	PfNF54_010006800	
